iso3,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
AFG,17804292964.104454,20001598505.70422,20561069558.21524,20484885119.73478,19907111418.99383,18017749073.63616,18869945678.42154,18353881129.52457,19291104007.613544,19807067268.108387
AGO,111789686464.4413,128052853643.10555,136709862831.19368,145712200312.50507,116193649124.15137,101123851090.45537,122123822333.5905,101353230784.59373,89417190341.25328,62306913444.29173
ALB,12890765324.225588,12319830252.476793,12776217194.792807,13228144008.342813,11386846319.15892,11861200797.47065,13019693450.881613,15147020535.386873,15286612572.6895,14799615097.100782
AND,3629203786.1915364,3188808942.5671334,3193704343.2062693,3271808157.300385,2789870187.5069346,2896679211.866283,3000180750.112969,3218316013.2262635,3155065487.518191,
ARE,350666031313.8189,374590605854.3227,390107556160.6535,403137100068.07355,358135057862.4915,357045064669.84344,385605506848.19604,422215043594.28186,421142267937.3724,
ARG,530163281574.65753,545982375701.128,552025140252.2463,526319673731.6383,594749285413.2124,557531376217.9669,643628665302.1549,517626700412.8849,445445177459.45306,383066977653.56006
ARM,10142111334.496105,10619320048.585737,11121465767.406683,11609512939.75425,10553337672.987204,10546135160.030985,11527458565.73342,12457941907.033281,13672802157.832392,12645459213.523518
ASM,570000000.0,640000000.0,638000000.0,643000000.0,673000000.0,671000000.0,612000000.0,641000000.0,638000000.0,
ATG,1137637037.037037,1199948148.148148,1181448148.148148,1249733333.3333333,1336692592.5925925,1436585185.1851852,1467977777.7777777,1605351851.8518517,1661962962.9629629,1415059259.2592592
AUS,1396649906339.3474,1546151783872.9636,1576184467015.492,1467483705131.736,1351693984524.503,1208846993739.9915,1329188475752.319,1432881172002.1704,1396567014733.2283,1330900925056.978
AUT,431120310088.8197,409425234155.2632,430068712971.8673,441996131736.50793,381817565893.5738,395568644341.0376,416207272209.53796,454872626780.0053,445075391688.1561,428965397959.4564
AZE,65951627200.202614,69683935845.21385,74164435946.46272,75244294275.14981,53074370486.043335,37867518957.19747,40865558912.3867,47112941176.47059,48174235294.117645,42607176470.588234
BDI,2235820808.729131,2333308059.024033,2451625280.195368,2705783330.387911,3104394792.28413,2959641046.922912,3172292379.3632936,3036937141.2706223,3012308945.6267095,3258187232.6315856
BEL,522645519183.59094,496181260258.3001,521642714407.8428,534678075827.3614,462149679343.82184,475739588764.7589,501522868356.4411,543410654016.6017,533254518108.23444,515332499627.8613
BEN,10693321370.03598,11141358105.985321,12517845127.677475,13284527850.263166,11388160997.108948,11821065852.12709,12701655845.961237,14250987026.053297,14391686309.032972,15651545208.878334
BFA,12080296644.0643,12561016091.467287,13444301139.1384,13943016923.901682,11832159275.60297,12833363370.174025,14106956830.085659,16059910870.623903,15990803569.996128,17369059295.222607
BGD,128637938711.3856,133355749482.47754,149990451022.28983,172885454931.4531,195078678697.22955,221415188000.47534,249710922462.3092,274038973437.27548,302563398919.92755,324239176765.0531
BGR,57386216850.337715,54033250328.515114,55615397665.58089,56901994980.328316,50647442756.74451,53806894796.38009,58971520599.25094,66230155099.577545,68558815111.61992,69105101089.55312
BHR,28776595744.68085,30749308510.638298,32539468085.106384,33387712765.957447,31050638297.87234,32234973404.255318,35473776595.74468,37652500000.0,38474521276.59574,
